image_path,source,aqi,pm25,pm10,aqi_soft,aqi_category,aqi_bin,day_night,depth_path,depth_available,has_aqi,has_pm25,has_pm10,sample_weight,notes,pm25_bin,strat
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-3.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-3.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-2.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-2.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-18.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-18.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-17.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-17.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-16.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-16.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-73.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-73.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-71.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-71.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-7.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-7.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-65.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-65.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-62.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-62.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-56.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-56.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-55.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-55.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-48.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-48.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-47.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-47.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-46.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-46.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-39.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-39.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
