image_id,Location,Filename,Year,Month,Day,Hour,AQI,pm25,pm10,O3,CO,SO2,NO2,AQI_Class,image_path,datetime_image,datetime_aqi,uses_hourly_measure,conf_twilight,sub_pm25,sub_pm10,dominant,is_pm_dominant,soft_aqi_flag,soft_aqi,conf_softlabel,conf_temporal,label_confidence,is_low_information,country_group,city,aqi_bin,strata
1,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-8.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-8.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
4,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-5.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-5.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
8,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-18.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-18.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
9,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-17.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-17.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
16,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-10.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-10.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
17,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-1.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-1.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
19,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-8.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-8.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
22,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-75.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-75.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
27,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-70.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-70.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
32,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-66.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-66.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
