image_id,Location,Filename,Year,Month,Day,Hour,AQI,pm25,pm10,O3,CO,SO2,NO2,AQI_Class,image_path,datetime_image,datetime_aqi,uses_hourly_measure,conf_twilight,sub_pm25,sub_pm10,dominant,is_pm_dominant,soft_aqi_flag,soft_aqi,conf_softlabel,conf_temporal,label_confidence,is_low_information,country_group,city,aqi_bin,strata
6,"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-3.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-3.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
23,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-74.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-74.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
25,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-72.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-72.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
28,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-7.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-7.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
31,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-67.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-67.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
35,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-63.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-63.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
36,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-62.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-62.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
38,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-60.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-60.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
42,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-57.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-57.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
48,"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-51.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,/Users/nesar/VS/airvision/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-51.jpg,2023-02-02 12:00:00,2023-02-02 12:00:00,True,1.0,133.6,135.2466666666666,sub_pm10,True,1,133.6,0.5,1.0,0.5,False,IND_NEP,Biratnagar,3,Biratnagar_3
